rank,company_name,tax_type,amount,balance,filed_date,county,state,source,source_url,scraped_at
87,HEAT CARIBBEAN KITCHEN & LOUNGE INC,Sales and,9677.01,873249.22,Aug,QUEENS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.263625
88,GIULIA SALUMERIA CORP. TRADING AS MONTALBANOS ITALIAN FOOD SPECIALITIES,Corporation,2913.58,864090.81,May,RICHMOND,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.263649
89,"FARGO'S FAMILY MARKET, LLC",Sales and,,,,,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.263673
90,M & M PIO RESTAURANT LLC TRADING AS POLLO D'ORO,Sales and,,,,,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.275587
91,TZILA ZEV REALTY TRADING AS TRIANGLE AUTO BODY,Sales and,839062.23,839062.23,Sep,KINGS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.275615
92,GARTECH ELECTRICAL CONTRACTING CORP.,Corporation,3358.1,835742.93,Nov,KINGS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.275635
92,GARTECH ELECTRICAL CONTRACTING CORP.,Withholding,7755.22,835742.93,Aug,KINGS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.286521
93,"COUNTER INTELLIGENCE, INCORPORATED",Corporation,823.06,795668.3,Jun,ALBANY,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.286543
94,"TASTE OF THAI EXPRESS, INC.",Sales and,101537.84,778328.24,Oct,TOMPKINS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.286565
95,EMERALD DRYWALL FINISHING CORP.,Corporation,1630.84,777406.15,Feb,ALBANY,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.286585
96,HITEN INTERNATIONAL INC.,Corporation,2870.88,759372.12,Apr,QUEENS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.286605
97,"NORTHEAST LANDSCAPE & MASONRY ASSOCIATES, INC.",Corporation,4831.79,759122.44,Feb,WESTCHESTER,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.297420
98,"JOE'S FRIENDLY SERVICE & SON, INC.",Corporation,2405.46,749130.53,Mar,SUFFOLK,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.297445
99,ROCKWELL MAINTENANCE LLC,Sales and,591475.46,733777.96,Jan,ALBANY,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.297467
100,GOLD LEAF SECURITY INC.,Corporation,1544.69,732787.56,Dec,NASSAU,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.297486
100,GOLD LEAF SECURITY INC.,Sales and,,,,,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.305724
